上海IPTV,#genre#
宁夏卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/nxws/1300000/mnf.m3u8
宁夏卫视,http://112.25.48.68/live/program/live/nxws/1300000/mnf.m3u8
青海卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/qhws/1300000/mnf.m3u8
青海卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/qhws/1300000/mnf.m3u8
青海卫视,http://112.25.48.68/live/program/live/qhws/1300000/mnf.m3u8
山西卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/shanxiws/1300000/mnf.m3u8
山西卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/shanxiws/1300000/mnf.m3u8
四川卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/scws/1300000/mnf.m3u8
四川卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/scws/1300000/mnf.m3u8
新疆卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/xjws/1300000/mnf.m3u8
新疆卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/xjws/1300000/mnf.m3u8
云南卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ynws/1300000/mnf.m3u8
云南卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/ynws/1300000/mnf.m3u8
重庆卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cqws/1300000/mnf.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
内蒙古卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/nmgws/1300000/mnf.m3u8
内蒙古卫视,http://shbu4k.live.bestvcdn.com:8080/live/program/live/nmgws/1300000/mnf.m3u8
内蒙古卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/nmgws/1300000/mnf.m3u8
SiTV,#genre#
SiTV七彩戏剧,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227025/index.m3u8
SiTV东方财经,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227122/index.m3u8
SiTV极速汽车,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227052/index.m3u8
SiTV法治天地,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226143/index.m3u8
SiTV法治天地,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227118/index.m3u8
SiTV金色频道,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227126/index.m3u8
SiTV动漫秀场,http://39.134.39.39/PLTV/88888888/224/3221226197/index.m3u8
SiTV极速汽车,http://39.134.39.39/PLTV/88888888/224/3221226195/index.m3u8
SiTV极速汽车,http://39.134.39.39/PLTV/88888888/224/3221226310/index.m3u8
SiTV欢笑剧场,http://39.134.39.39/PLTV/88888888/224/3221226203/index.m3u8
SiTV游戏风云,http://39.134.39.39/PLTV/88888888/224/3221226187/index.m3u8
SiTV游戏风云,http://39.134.39.39/PLTV/88888888/224/3221226337/index.m3u8
SiTV都市剧场,http://39.134.39.39/PLTV/88888888/224/3221226176/index.m3u8
SiTV七彩戏剧,http://39.134.39.39/PLTV/88888888/224/3221225691/index.m3u8
SiTV东方财经,http://39.134.39.39/PLTV/88888888/224/3221225667/index.m3u8
SiTV法治天地,http://39.134.39.39/PLTV/88888888/224/3221225627/index.m3u8
SiTV生活时尚,http://39.134.39.39/PLTV/88888888/224/3221225874/index.m3u8
SiTV全纪实,http://117.136.154.72/PLTV/88888888/224/3221225842/index.m3u8
SiTV动漫秀场,http://117.136.154.94/PLTV/88888888/224/3221225845/index.m3u8
SiTV极速汽车,http://117.136.154.86/PLTV/88888888/224/3221225847/index.m3u8
SiTV游戏风云,http://117.136.154.86/PLTV/88888888/224/3221225840/index.m3u8
SiTV生活时尚,http://117.136.154.74/PLTV/88888888/224/3221225838/index.m3u8
SiTV都市剧场,http://117.136.154.74/PLTV/88888888/224/3221225843/index.m3u8
SiTV欢笑剧场,http://117.136.154.98/PLTV/88888888/224/3221225822/index.m3u8
SiTV七彩戏剧,http://117.136.154.98/PLTV/88888888/224/3221225613/index.m3u8
SiTV东方财经,http://117.136.154.98/PLTV/88888888/224/3221225612/index.m3u8
